series.id,series.name,series.startDate,series.endDate,series.odi,series.t20,series.test,series.squads,series.matches
4b8371ad-ab59-4384-93db-5d172475b3cc,"ICC T20 World Cup Sub Regional Europe Qualifier B, 2024",2024-07-07,Jul 14,0,24,0,0,24
77bae08a-eccc-4333-be05-d003161e6d68,"ICC Mens T20 World Cup Europe Qualifier A, 2024",Jun 09,Jun 16,0,24,0,0,0
645ccd7e-af60-4e70-b92d-7e6b8bc2db1c,"ICC Mens T20 World Cup Europe Qualifier A, 2024",2024-06-09,Jun 16,0,24,0,10,24
5f2573bb-a50b-44da-a908-a4ee58700176,ICC Mens T20 World Cup Warm-up Matches 2024,2024-05-27,Jun 01,0,15,0,16,15
0ad89f68-dcb7-4ed7-a312-66f8d531b6c0,"ICC Womens T20 World Cup, 2024",2024-10-03,Oct 20,0,23,0,0,23
7fdfe706-37d7-4d77-8240-3b3e3bac7223,"ICC Womens T20 World Cup Warm-up Matches, 2024",Sep 27,Oct 01,0,0,0,0,0
6f641563-d047-4e4e-9bb6-44fdb2345aeb,ICC Womens T20 World Cup Qualifier 2024,2024-04-25,May 07,0,23,0,10,23
2617c614-38b9-4eca-bbce-45e917f8d3f3,ICC Cricket World Cup Challenge League Play-off 2024,2024-02-22,Mar 03,21,0,0,8,21
9b836620-68cb-4798-9647-d479aa871b76,ICC Cricket World Cup League Two 2023-27,2024-02-15,Mar 30,6,0,0,7,15
e079ef23-b5e9-4802-93e9-dd2f27db0533,ICC Mens T20 World Cup 2024,2024-06-02,Jun 29,0,55,0,20,55
5a28d054-fd19-404a-a1cc-887c18c48d0b,ICC Womens T20 World Cup Africa Region Qualifier 2023,2023-12-09,Dec 17,0,16,0,8,16
8adcd188-5d60-43f7-9479-445173c2f7be,ICC Womens T20 World Cup Africa Region Qualifier 2023,Dec 09,Dec 17,0,0,0,0,0
f0cd2c9c-baab-4fe7-a581-3abf65d13655,ICC Mens T20 World Cup Africa Region Qualifier 2023,2023-11-22,Nov 30,0,21,0,7,21
a494636e-9537-4ed9-9e8d-43708b202f81,ICC Mens T20I World Cup Asia Finals 2023,2023-10-30,Nov 05,0,15,0,8,15
723080c3-8c60-4349-a3aa-7291289711e1,ICC Mens T20 World Cup Americas Region Final 2023,2023-09-30,Oct 07,0,12,0,4,12
38e94ec2-92b6-4e3f-8a16-961128f9aa17,ICC Mens T20 World Cup Sub Regional Asia Qualifier A 2023,2023-09-28,Oct 05,0,12,0,4,12
b08f7abf-e95c-4b44-b092-edf4529534c2,ICC Womens T20 World Cup Europe Region Qualifier 2023,2023-09-06,Sep 12,0,4,0,4,12
1a906efc-d313-4735-af2f-7687a25dd97d,ICC Womens T20 World Cup Americas Qualifier 2023,2023-09-04,Sep 12,0,12,0,4,12
57186de3-2089-4f52-adbf-286a17186d56,ICC Womens T20 World Cup Africa Division 2 Qualifier 2023,2023-09-02,Sep 08,0,0,0,8,16
d057b617-ffcb-4abd-a84c-c111d5c0faaa,ICC Womens T20 World Cup East Asia Pacific Region Qualifier 2023,2023-09-01,Sep 08,0,0,0,7,21
1f5f11eb-c66b-4707-bf05-f449e37c40ef,ICC Womens T20 World Cup Asia Qualifier 2023,2023-08-31,Sep 08,0,28,0,11,28
24c36b5a-0ae1-40cf-8cf5-dd0b9d1be6bd,ICC Cricket World Cup Warm-up Matches 2023,2023-09-29,Oct 03,10,0,0,10,10
bd830e89-3420-4df5-854d-82cfab3e1e04,ICC Cricket World Cup 2023,2023-10-05,Nov 19,48,0,0,10,48
c009aa01-8ab9-48ce-ac13-9053f9b088d8,ICC Mens T20 World Cup Asia Qualifier B 2023,2023-07-26,Aug 01,0,10,0,5,10
81b588f0-afb5-49a6-99e5-15ea1ac127a9,ICC Cricket World Cup Qualifiers 2023,2023-06-18,Jul 09,34,0,0,10,34
